2025-02-09 19:33:09,686 INFO [DailyTrainer] run_daily_training => start
2025-02-09 19:33:13,290 INFO [AITrain] POL => ep=2, loss=0.003756
2025-02-09 19:33:13,336 INFO [AITrain] POL => ep=3, loss=0.002609
2025-02-09 19:33:13,382 INFO [AITrain] POL => ep=4, loss=0.004167
2025-02-09 19:33:13,428 INFO [AITrain] POL => ep=5, loss=0.003943
2025-02-09 19:33:13,478 INFO [AITrain] POL => ep=6, loss=0.004130
2025-02-09 19:33:13,523 INFO [AITrain] POL => ep=7, loss=0.002386
2025-02-09 19:33:13,568 INFO [AITrain] POL => ep=8, loss=0.002106
2025-02-09 19:33:13,603 INFO [AITrain] POL => ep=9, loss=0.002755
2025-02-09 19:33:13,603 INFO [AITrain] POL => saved model => ai_models\ai_POL.pt
2025-02-09 19:33:13,623 INFO [DailyTrainer] AI training => ADA
2025-02-09 19:33:13,666 INFO [AITrain] ADA => ep=0, loss=0.065487
2025-02-09 19:33:13,714 INFO [AITrain] ADA => ep=1, loss=0.059079
2025-02-09 19:33:13,775 INFO [AITrain] ADA => ep=2, loss=0.019940
2025-02-09 19:33:13,806 INFO [AITrain] ADA => ep=3, loss=0.015700
2025-02-09 19:33:13,853 INFO [AITrain] ADA => ep=4, loss=0.010971
2025-02-09 19:33:13,899 INFO [AITrain] ADA => ep=5, loss=0.013173
2025-02-09 19:33:13,950 INFO [AITrain] ADA => ep=6, loss=0.007002
2025-02-09 19:33:13,994 INFO [AITrain] ADA => ep=7, loss=0.006239
2025-02-09 19:33:14,048 INFO [AITrain] ADA => ep=8, loss=0.028415
2025-02-09 19:33:14,096 INFO [AITrain] ADA => ep=9, loss=0.010467
2025-02-09 19:33:14,097 INFO [AITrain] ADA => saved model => ai_models\ai_ADA.pt
2025-02-09 19:33:14,100 INFO [DailyTrainer] AI training => GBP
2025-02-09 19:33:14,108 INFO [AITrain] GBP => ep=0, loss=0.382830
2025-02-09 19:33:14,115 INFO [AITrain] GBP => ep=1, loss=0.349768
2025-02-09 19:33:14,120 INFO [AITrain] GBP => ep=2, loss=0.320835
2025-02-09 19:33:14,127 INFO [AITrain] GBP => ep=3, loss=0.291355
2025-02-09 19:33:14,130 INFO [AITrain] GBP => ep=4, loss=0.265298
2025-02-09 19:33:14,136 INFO [AITrain] GBP => ep=5, loss=0.239148
2025-02-09 19:33:14,142 INFO [AITrain] GBP => ep=6, loss=0.218108
2025-02-09 19:33:14,146 INFO [AITrain] GBP => ep=7, loss=0.196281
2025-02-09 19:33:14,152 INFO [AITrain] GBP => ep=8, loss=0.174969
2025-02-09 19:33:14,152 INFO [AITrain] GBP => ep=9, loss=0.158062
2025-02-09 19:33:14,152 INFO [AITrain] GBP => saved model => ai_models\ai_GBP.pt
2025-02-09 19:33:14,152 INFO [DailyTrainer] AI training => TON
2025-02-09 19:33:14,212 INFO [AITrain] TON => ep=0, loss=14.417890
2025-02-09 19:33:14,259 INFO [AITrain] TON => ep=1, loss=13.040002
2025-02-09 19:33:14,304 INFO [AITrain] TON => ep=2, loss=7.952258
2025-02-09 19:33:14,337 INFO [AITrain] TON => ep=3, loss=5.063778
2025-02-09 19:33:14,389 INFO [AITrain] TON => ep=4, loss=2.850796
2025-02-09 19:33:14,431 INFO [AITrain] TON => ep=5, loss=2.888975
2025-02-09 19:33:14,478 INFO [AITrain] TON => ep=6, loss=1.487650
2025-02-09 19:33:14,533 INFO [AITrain] TON => ep=7, loss=0.400715
2025-02-09 19:33:14,575 INFO [AITrain] TON => ep=8, loss=0.306290
2025-02-09 19:33:14,621 INFO [AITrain] TON => ep=9, loss=0.246440
2025-02-09 19:33:14,623 INFO [AITrain] TON => saved model => ai_models\ai_TON.pt
2025-02-09 19:33:14,627 INFO [DailyTrainer] AI training => ONDO
2025-02-09 19:33:14,675 INFO [AITrain] ONDO => ep=0, loss=1.035382
2025-02-09 19:33:14,721 INFO [AITrain] ONDO => ep=1, loss=0.643664
2025-02-09 19:33:14,759 INFO [AITrain] ONDO => ep=2, loss=0.314057
2025-02-09 19:33:14,806 INFO [AITrain] ONDO => ep=3, loss=0.194441
2025-02-09 19:33:14,860 INFO [AITrain] ONDO => ep=4, loss=0.121153
2025-02-09 19:33:14,901 INFO [AITrain] ONDO => ep=5, loss=0.044626
2025-02-09 19:33:14,949 INFO [AITrain] ONDO => ep=6, loss=0.027839
2025-02-09 19:33:14,994 INFO [AITrain] ONDO => ep=7, loss=0.042255
2025-02-09 19:33:15,048 INFO [AITrain] ONDO => ep=8, loss=0.012544
2025-02-09 19:33:15,093 INFO [AITrain] ONDO => ep=9, loss=0.015464
2025-02-09 19:33:15,093 INFO [AITrain] ONDO => saved model => ai_models\ai_ONDO.pt
2025-02-09 19:33:15,099 INFO [DailyTrainer] AI training => NEAR
2025-02-09 19:33:15,138 INFO [AITrain] NEAR => ep=0, loss=13.011621
2025-02-09 19:33:15,193 INFO [AITrain] NEAR => ep=1, loss=5.829848
2025-02-09 19:33:15,238 INFO [AITrain] NEAR => ep=2, loss=7.319707
2025-02-09 19:33:15,283 INFO [AITrain] NEAR => ep=3, loss=6.746320
2025-02-09 19:33:15,328 INFO [AITrain] NEAR => ep=4, loss=6.728999
2025-02-09 19:33:15,370 INFO [AITrain] NEAR => ep=5, loss=3.416831
2025-02-09 19:33:15,415 INFO [AITrain] NEAR => ep=6, loss=3.571447
2025-02-09 19:33:15,462 INFO [AITrain] NEAR => ep=7, loss=2.675600
2025-02-09 19:33:15,493 INFO [AITrain] NEAR => ep=8, loss=1.778386
2025-02-09 19:33:15,541 INFO [AITrain] NEAR => ep=9, loss=0.586739
2025-02-09 19:33:15,541 INFO [AITrain] NEAR => saved model => ai_models\ai_NEAR.pt
2025-02-09 19:33:15,559 INFO [DailyTrainer] AI training => APT
2025-02-09 19:33:15,608 INFO [AITrain] APT => ep=0, loss=50.528744
2025-02-09 19:33:15,650 INFO [AITrain] APT => ep=1, loss=41.533848
2025-02-09 19:33:15,697 INFO [AITrain] APT => ep=2, loss=34.346600
2025-02-09 19:33:15,744 INFO [AITrain] APT => ep=3, loss=15.738629
2025-02-09 19:33:15,790 INFO [AITrain] APT => ep=4, loss=7.118865
2025-02-09 19:33:15,844 INFO [AITrain] APT => ep=5, loss=6.657787
2025-02-09 19:33:15,889 INFO [AITrain] APT => ep=6, loss=8.855035
2025-02-09 19:33:15,947 INFO [AITrain] APT => ep=7, loss=4.730140
2025-02-09 19:33:15,994 INFO [AITrain] APT => ep=8, loss=2.513522
2025-02-09 19:33:16,042 INFO [AITrain] APT => ep=9, loss=0.823115
2025-02-09 19:33:16,044 INFO [AITrain] APT => saved model => ai_models\ai_APT.pt
2025-02-09 19:33:16,050 INFO [DailyTrainer] AI training => DOT
2025-02-09 19:33:16,114 INFO [AITrain] DOT => ep=0, loss=24.911768
2025-02-09 19:33:16,169 INFO [AITrain] DOT => ep=1, loss=25.158422
2025-02-09 19:33:16,223 INFO [AITrain] DOT => ep=2, loss=26.751848
2025-02-09 19:33:16,275 INFO [AITrain] DOT => ep=3, loss=19.162088
2025-02-09 19:33:16,328 INFO [AITrain] DOT => ep=4, loss=14.017365
2025-02-09 19:33:16,382 INFO [AITrain] DOT => ep=5, loss=14.285922
2025-02-09 19:33:16,437 INFO [AITrain] DOT => ep=6, loss=11.694936
2025-02-09 19:33:16,494 INFO [AITrain] DOT => ep=7, loss=9.074996
2025-02-09 19:33:16,549 INFO [AITrain] DOT => ep=8, loss=9.915952
2025-02-09 19:33:16,604 INFO [AITrain] DOT => ep=9, loss=9.448830
2025-02-09 19:33:16,605 INFO [AITrain] DOT => saved model => ai_models\ai_DOT.pt
2025-02-09 19:33:16,612 INFO [DailyTrainer] AI training => LINK
2025-02-09 19:33:16,672 INFO [AITrain] LINK => ep=0, loss=560.360535
2025-02-09 19:33:16,729 INFO [AITrain] LINK => ep=1, loss=577.699036
2025-02-09 19:33:16,784 INFO [AITrain] LINK => ep=2, loss=466.769043
2025-02-09 19:33:16,837 INFO [AITrain] LINK => ep=3, loss=386.297455
2025-02-09 19:33:16,895 INFO [AITrain] LINK => ep=4, loss=460.041626
2025-02-09 19:33:16,947 INFO [AITrain] LINK => ep=5, loss=458.343262
2025-02-09 19:33:17,005 INFO [AITrain] LINK => ep=6, loss=460.923615
2025-02-09 19:33:17,061 INFO [AITrain] LINK => ep=7, loss=437.147308
2025-02-09 19:33:17,117 INFO [AITrain] LINK => ep=8, loss=396.708771
2025-02-09 19:33:17,165 INFO [AITrain] LINK => ep=9, loss=416.295776
2025-02-09 19:33:17,165 INFO [AITrain] LINK => saved model => ai_models\ai_LINK.pt
2025-02-09 19:33:17,181 INFO [DailyTrainer] AI training => LTC
2025-02-09 19:33:17,243 INFO [AITrain] LTC => ep=0, loss=12677.159180
2025-02-09 19:33:17,295 INFO [AITrain] LTC => ep=1, loss=12356.438477
2025-02-09 19:33:17,357 INFO [AITrain] LTC => ep=2, loss=13010.089844
2025-02-09 19:33:17,419 INFO [AITrain] LTC => ep=3, loss=12531.819336
2025-02-09 19:33:17,476 INFO [AITrain] LTC => ep=4, loss=13406.333008
2025-02-09 19:33:17,535 INFO [AITrain] LTC => ep=5, loss=12465.907227
2025-02-09 19:33:17,595 INFO [AITrain] LTC => ep=6, loss=10475.395508
2025-02-09 19:33:17,651 INFO [AITrain] LTC => ep=7, loss=11435.877930
2025-02-09 19:33:17,697 INFO [AITrain] LTC => ep=8, loss=11070.039062
2025-02-09 19:33:17,760 INFO [AITrain] LTC => ep=9, loss=11814.445312
2025-02-09 19:33:17,760 INFO [AITrain] LTC => saved model => ai_models\ai_LTC.pt
2025-02-09 19:33:17,760 INFO [DailyTrainer] AI training => SOL
2025-02-09 19:33:17,822 INFO [AITrain] SOL => ep=0, loss=55058.582031
2025-02-09 19:33:17,886 INFO [AITrain] SOL => ep=1, loss=54611.906250
2025-02-09 19:33:17,931 INFO [AITrain] SOL => ep=2, loss=53555.667969
2025-02-09 19:33:17,995 INFO [AITrain] SOL => ep=3, loss=46991.109375
2025-02-09 19:33:18,040 INFO [AITrain] SOL => ep=4, loss=51993.921875
2025-02-09 19:33:18,103 INFO [AITrain] SOL => ep=5, loss=53818.714844
2025-02-09 19:33:18,168 INFO [AITrain] SOL => ep=6, loss=50591.796875
2025-02-09 19:33:18,213 INFO [AITrain] SOL => ep=7, loss=55976.113281
2025-02-09 19:33:18,275 INFO [AITrain] SOL => ep=8, loss=47133.972656
2025-02-09 19:33:18,322 INFO [AITrain] SOL => ep=9, loss=49389.699219
2025-02-09 19:33:18,322 INFO [AITrain] SOL => saved model => ai_models\ai_SOL.pt
2025-02-09 19:33:18,342 INFO [DailyTrainer] AI training => AAVE
2025-02-09 19:33:18,400 INFO [AITrain] AAVE => ep=0, loss=102707.664062
2025-02-09 19:33:18,462 INFO [AITrain] AAVE => ep=1, loss=99879.960938
2025-02-09 19:33:18,509 INFO [AITrain] AAVE => ep=2, loss=95026.945312
2025-02-09 19:33:18,577 INFO [AITrain] AAVE => ep=3, loss=89964.468750
2025-02-09 19:33:18,620 INFO [AITrain] AAVE => ep=4, loss=93549.500000
2025-02-09 19:33:18,691 INFO [AITrain] AAVE => ep=5, loss=91390.820312
2025-02-09 19:33:18,745 INFO [AITrain] AAVE => ep=6, loss=88401.695312
2025-02-09 19:33:18,806 INFO [AITrain] AAVE => ep=7, loss=96564.945312
2025-02-09 19:33:18,853 INFO [AITrain] AAVE => ep=8, loss=93982.718750
2025-02-09 19:33:18,916 INFO [AITrain] AAVE => ep=9, loss=88128.250000
2025-02-09 19:33:18,916 INFO [AITrain] AAVE => saved model => ai_models\ai_AAVE.pt
2025-02-09 19:33:18,920 INFO [DailyTrainer] AI training => TAO
2025-02-09 19:33:18,980 INFO [AITrain] TAO => ep=0, loss=156359.375000
2025-02-09 19:33:19,041 INFO [AITrain] TAO => ep=1, loss=147106.265625
2025-02-09 19:33:19,088 INFO [AITrain] TAO => ep=2, loss=173666.703125
2025-02-09 19:33:19,151 INFO [AITrain] TAO => ep=3, loss=170802.421875
2025-02-09 19:33:19,198 INFO [AITrain] TAO => ep=4, loss=175480.328125
2025-02-09 19:33:19,260 INFO [AITrain] TAO => ep=5, loss=168787.078125
2025-02-09 19:33:19,321 INFO [AITrain] TAO => ep=6, loss=184363.046875
2025-02-09 19:33:19,368 INFO [AITrain] TAO => ep=7, loss=154691.984375
2025-02-09 19:33:19,439 INFO [AITrain] TAO => ep=8, loss=165763.281250
2025-02-09 19:33:19,494 INFO [AITrain] TAO => ep=9, loss=160611.000000
2025-02-09 19:33:19,494 INFO [AITrain] TAO => saved model => ai_models\ai_TAO.pt
2025-02-09 19:33:19,494 INFO [DailyTrainer] AI training => BTC
2025-02-09 19:33:19,567 INFO [AITrain] BTC => ep=0, loss=9952068608.000000
2025-02-09 19:33:19,619 INFO [AITrain] BTC => ep=1, loss=10396673024.000000
2025-02-09 19:33:19,665 INFO [AITrain] BTC => ep=2, loss=10244094976.000000
2025-02-09 19:33:19,729 INFO [AITrain] BTC => ep=3, loss=10655841280.000000
2025-02-09 19:33:19,790 INFO [AITrain] BTC => ep=4, loss=10739515392.000000
2025-02-09 19:33:19,840 INFO [AITrain] BTC => ep=5, loss=10245733376.000000
2025-02-09 19:33:19,899 INFO [AITrain] BTC => ep=6, loss=10559509504.000000
2025-02-09 19:33:19,947 INFO [AITrain] BTC => ep=7, loss=10233709568.000000
2025-02-09 19:33:20,009 INFO [AITrain] BTC => ep=8, loss=10350091264.000000
2025-02-09 19:33:20,056 INFO [AITrain] BTC => ep=9, loss=10572336128.000000
2025-02-09 19:33:20,071 INFO [AITrain] BTC => saved model => ai_models\ai_BTC.pt
2025-02-09 19:33:20,072 INFO [DailyTrainer] AI training => ETH
2025-02-09 19:33:20,134 INFO [AITrain] ETH => ep=0, loss=10202409.000000
2025-02-09 19:33:20,181 INFO [AITrain] ETH => ep=1, loss=8976886.000000
2025-02-09 19:33:20,245 INFO [AITrain] ETH => ep=2, loss=8540535.000000
2025-02-09 19:33:20,292 INFO [AITrain] ETH => ep=3, loss=10264173.000000
2025-02-09 19:33:20,353 INFO [AITrain] ETH => ep=4, loss=8684007.000000
2025-02-09 19:33:20,399 INFO [AITrain] ETH => ep=5, loss=8795833.000000
2025-02-09 19:33:20,462 INFO [AITrain] ETH => ep=6, loss=9138345.000000
2025-02-09 19:33:20,509 INFO [AITrain] ETH => ep=7, loss=8029164.500000
2025-02-09 19:33:20,572 INFO [AITrain] ETH => ep=8, loss=10069223.000000
2025-02-09 19:33:20,634 INFO [AITrain] ETH => ep=9, loss=9521092.000000
2025-02-09 19:33:20,636 INFO [AITrain] ETH => saved model => ai_models\ai_ETH.pt
2025-02-09 19:33:20,644 INFO [DailyTrainer] AI training => ICP
2025-02-09 19:33:20,706 INFO [AITrain] ICP => ep=0, loss=69.339050
2025-02-09 19:33:20,761 INFO [AITrain] ICP => ep=1, loss=67.334511
2025-02-09 19:33:20,807 INFO [AITrain] ICP => ep=2, loss=59.550934
2025-02-09 19:33:20,855 INFO [AITrain] ICP => ep=3, loss=39.187180
2025-02-09 19:33:20,917 INFO [AITrain] ICP => ep=4, loss=25.991707
2025-02-09 19:33:20,981 INFO [AITrain] ICP => ep=5, loss=23.685308
2025-02-09 19:33:21,025 INFO [AITrain] ICP => ep=6, loss=20.350969
2025-02-09 19:33:21,085 INFO [AITrain] ICP => ep=7, loss=18.631699
2025-02-09 19:33:21,134 INFO [AITrain] ICP => ep=8, loss=18.358034
2025-02-09 19:33:21,197 INFO [AITrain] ICP => ep=9, loss=16.133326
2025-02-09 19:33:21,197 INFO [AITrain] ICP => saved model => ai_models\ai_ICP.pt
2025-02-09 19:33:21,197 INFO [DailyTrainer] AI training => AVAX
2025-02-09 19:33:21,259 INFO [AITrain] AVAX => ep=0, loss=977.055725
2025-02-09 19:33:21,306 INFO [AITrain] AVAX => ep=1, loss=995.629089
2025-02-09 19:33:21,370 INFO [AITrain] AVAX => ep=2, loss=1086.244019
2025-02-09 19:33:21,431 INFO [AITrain] AVAX => ep=3, loss=832.179993
2025-02-09 19:33:21,480 INFO [AITrain] AVAX => ep=4, loss=780.588196
2025-02-09 19:33:21,541 INFO [AITrain] AVAX => ep=5, loss=783.830017
2025-02-09 19:33:21,590 INFO [AITrain] AVAX => ep=6, loss=916.007141
2025-02-09 19:33:21,650 INFO [AITrain] AVAX => ep=7, loss=611.884705
2025-02-09 19:33:21,715 INFO [AITrain] AVAX => ep=8, loss=818.615967
2025-02-09 19:33:21,765 INFO [AITrain] AVAX => ep=9, loss=636.130127
2025-02-09 19:33:21,765 INFO [AITrain] AVAX => saved model => ai_models\ai_AVAX.pt
2025-02-09 19:33:21,775 INFO [DailyTrainer] AI training => SUI
2025-02-09 19:33:21,837 INFO [AITrain] SUI => ep=0, loss=12.711466
2025-02-09 19:33:21,900 INFO [AITrain] SUI => ep=1, loss=11.257332
2025-02-09 19:33:21,946 INFO [AITrain] SUI => ep=2, loss=12.345826
2025-02-09 19:33:22,011 INFO [AITrain] SUI => ep=3, loss=10.409527
2025-02-09 19:33:22,068 INFO [AITrain] SUI => ep=4, loss=2.959219
2025-02-09 19:33:22,119 INFO [AITrain] SUI => ep=5, loss=11.389537
2025-02-09 19:33:22,170 INFO [AITrain] SUI => ep=6, loss=2.588983
2025-02-09 19:33:22,228 INFO [AITrain] SUI => ep=7, loss=4.086761
2025-02-09 19:33:22,290 INFO [AITrain] SUI => ep=8, loss=4.396327
2025-02-09 19:33:22,354 INFO [AITrain] SUI => ep=9, loss=1.948413
2025-02-09 19:33:22,354 INFO [AITrain] SUI => saved model => ai_models\ai_SUI.pt
2025-02-09 19:33:22,354 INFO [DailyTrainer] Not enough data for AI => USDT
2025-02-09 19:33:22,354 INFO [DailyTrainer] AI training => ETC
2025-02-09 19:33:22,416 INFO [AITrain] ETC => ep=0, loss=621.989624
2025-02-09 19:33:22,478 INFO [AITrain] ETC => ep=1, loss=564.944214
2025-02-09 19:33:22,525 INFO [AITrain] ETC => ep=2, loss=538.924866
2025-02-09 19:33:22,588 INFO [AITrain] ETC => ep=3, loss=440.503876
2025-02-09 19:33:22,635 INFO [AITrain] ETC => ep=4, loss=368.446411
2025-02-09 19:33:22,702 INFO [AITrain] ETC => ep=5, loss=270.791412
2025-02-09 19:33:22,744 INFO [AITrain] ETC => ep=6, loss=319.370758
2025-02-09 19:33:22,808 INFO [AITrain] ETC => ep=7, loss=363.111237
2025-02-09 19:33:22,853 INFO [AITrain] ETC => ep=8, loss=185.437943
2025-02-09 19:33:22,916 INFO [AITrain] ETC => ep=9, loss=240.838943
2025-02-09 19:33:22,918 INFO [AITrain] ETC => saved model => ai_models\ai_ETC.pt
